primer	indel_id	orientation	AF16_chrom	AF16_start	AF16_end	AF16_mismatches	CGC2_chrom	CGC2_start	CGC2_end	CGC2_mismatches	gsize
bdP3_F	bdP3	F	V	7413646	7413664	0	V	7853099	7853117	0	2
bdP3_R	bdP3	R	V	7414552	7414530	0	V	7854005	7853983	0	2
bhP12_F	bhP12	F	III	5752834	5752855	0	III	5783140	5783161	0	2
bhP12_R	bhP12	R	III	5753081	5753060	0	III	5783387	5783366	0	2
bhP13_F	bhP13	F	IV	598746	598768	0	IV	683549	683571	0	2
bhP13_R	bhP13	R	IV	598995	598973	0	IV	683798	683776	0	2
bhP14_F	bhP14	F	III	2535825	2535846	0	III	2470310	2470331	0	2
bhP14_R	bhP14	R	III	2536065	2536043	0	III	2470550	2470528	0	2
bhP15_F	bhP15	F	IV	2236528	2236550	0	IV	2175322	2175344	0	2
bhP15_R	bhP15	R	IV	2236777	2236756	0	IV	2175571	2175550	0	2
bhP18_F	bhP18	F	III	45803	45781	0	III	116937	116915	0	2
bhP18_R	bhP18	R	III	45556	45578	0	III	116690	116712	0	2
bhP19_F	bhP19	F	I	17270	17291	0	I	430045	430024	0	2
bhP19_R	bhP19	R	I	17516	17494	0	I	429799	429821	0	2
bhP1_F	bhP1	F	I	11745497	11745477	0	I	11667552	11667532	0	2
bhP1_R	bhP1	R	I	11745245	11745268	0	I	11667300	11667323	0	2
bhP20_F	bhP20	F	II	1340820	1340842	0	II	1333477	1333455	0	2
bhP20_R	bhP20	R	II	1341067	1341046	0	II	1333230	1333251	0	2
bhP21_F	bhP21	F	II	9994616	9994594	0	II	9780527	9780505	0	2
bhP21_R	bhP21	R	II	9994366	9994389	0	II	9780277	9780300	0	2
bhP24_F	bhP24	F	V	18905102	18905124	0	V	19543598	19543620	0	2
bhP24_R	bhP24	R	V	18905343	18905322	0	V	19543839	19543818	0	2
bhP25_F	bhP25	F	X	3176112	3176134	0	X	3280397	3280419	0	2
bhP25_R	bhP25	R	X	3176361	3176340	0	X	3280646	3280625	0	2
bhP26_F	bhP26	F	X	17067096	17067118	0	X	17756928	17756950	0	2
bhP26_R	bhP26	R	X	17067346	17067324	0	X	17757178	17757156	0	2
bhP29_F	bhP29	F	I	15180719	15180741	0	I	15165380	15165402	0	2
bhP29_R	bhP29	R	I	15180966	15180945	0	I	15165627	15165606	0	2
bhP2_F	bhP2	F	II	2786400	2786422	0	II	2751848	2751870	0	2
bhP2_R	bhP2	R	II	2786642	2786620	0	II	2752090	2752068	0	2
bhP32_F	bhP32	F	II	4175321	4175342	0	II	4061725	4061704	0	2
bhP32_R	bhP32	R	II	4175570	4175548	0	II	4061476	4061498	0	2
bhP34_F	bhP34	F	III	5880765	5880787	0	III	5904381	5904403	0	2
bhP34_R	bhP34	R	III	5881010	5880988	0	III	5904626	5904604	0	2
bhP36_F	bhP36	F	X	13665274	13665296	0	X	14041772	14041794	0	2
bhP36_R	bhP36	R	X	13665517	13665495	0	X	14042015	14041993	0	2
bhP37_F	bhP37	F	V	9005522	9005501	0	V	9407383	9407362	0	2
bhP37_R	bhP37	R	V	9005272	9005293	0	V	9407133	9407154	0	2
bhP38_F	bhP38	F	III	4013114	4013095	0	III	4088434	4088415	0	2
bhP38_R	bhP38	R	III	4012866	4012888	0	III	4088186	4088208	0	2
bhP40_F	bhP40	F	III	12264190	12264212	0	III	12620388	12620410	0	2
bhP40_R	bhP40	R	III	12264439	12264416	0	III	12620637	12620614	0	2
bhP42_F	bhP42	F	I	6763171	6763150	0	I	6718442	6718421	0	2
bhP42_R	bhP42	R	I	6762920	6762942	0	I	6718191	6718213	0	2
bhP45_F	bhP45	F	IV	4973419	4973442	0	IV	5049870	5049893	0	2
bhP45_R	bhP45	R	IV	4973663	4973641	0	IV	5050114	5050092	0	2
bhP47_F	bhP47	F	V	5354947	5354969	0	V	5852895	5852917	0	2
bhP47_R	bhP47	R	V	5355189	5355167	0	V	5853137	5853115	0	2
bhP48_F	bhP48	F	V	16115347	16115369	0	V	16325901	16325923	0	2
bhP48_R	bhP48	R	V	16115595	16115572	0	V	16326149	16326126	0	2
bhP49_F	bhP49	F	X	19717454	19717432	0	X	20423135	20423113	0	2
bhP49_R	bhP49	R	X	19717205	19717225	0	X	20422886	20422906	0	2
bhP5_F	bhP5	F	V	14723708	14723730	0	V	15035758	15035780	0	2
bhP5_R	bhP5	R	V	14723998	14723977	0	V	15036048	15036027	0	2
bhP6_F	bhP6	F	II	2281681	2281660	0	II	2293717	2293696	0	2
bhP6_R	bhP6	R	II	2280709	2280731	0	II	2292745	2292767	0	2
bhP8_F	bhP8	F	II	15795079	15795057	0	II	15620403	15620381	0	2
bhP8_R	bhP8	R	II	15794831	15794854	0	II	15620155	15620178	0	2
bhP9_F	bhP9	F	IV	12524217	12524197	0	IV	12393310	12393290	0	2
bhP9_R	bhP9	R	IV	12523962	12523983	0	IV	12393055	12393076	0	2
cb-m103_F	cb-m103	F	V	11376345	11376323	0	V	11749644	11749622	0	2
cb-m103_R	cb-m103	R	V	11375746	11375768	0	V	11749045	11749067	0	2
cb-m105_F	cb-m105	F	V	16286323	16286345	0	V	16500954	16500976	0	2
cb-m105_R	cb-m105	R	V	16287014	16286995	0	V	16501562	16501543	0	2
cb-m127_F	cb-m127	F	X	21239579	21239555	0	X	21941192	21941168	0	2
cb-m127_R	cb-m127	R	X	21239094	21239114	0	X	21940707	21940727	0	2
cb-m136_F	cb-m136	F	X	18411780	18411758	0	X	19130590	19130568	0	2
cb-m136_R	cb-m136	R	X	18410341	18410361	0	X	19129151	19129171	0	2
cb-m13_F	cb-m13	F	I	13824645	13824665	0	I	13769047	13769027	0	2
cb-m13_R	cb-m13	R	I	13825148	13825129	0	I	13768659	13768678	0	2
cb-m142_F	cb-m142	F	I	3033073	3033095	0	I	2963889	2963911	0	2
cb-m142_R	cb-m142	R	I	3033737	3033715	0	I	2964553	2964531	0	2
cb-m149_F	cb-m149	F	II	11405458	11405480	0	II	11174910	11174932	0	2
cb-m149_R	cb-m149	R	II	11405927	11405908	0	II	11175379	11175360	0	2
cb-m14_F	cb-m14	F	I	806090	806112	0	I	819219	819241	0	2
cb-m14_R	cb-m14	R	I	807089	807067	0	I	820217	820195	0	2
cb-m160_F	cb-m160	F	III	11839816	11839835	0	III	12209174	12209193	0	2
cb-m160_R	cb-m160	R	III	11840636	11840615	0	III	12209994	12209973	0	2
cb-m16_F	cb-m16	F	II	13343640	13343620	0	II	13037352	13037332	0	2
cb-m16_R	cb-m16	R	II	13342544	13342566	0	II	13036256	13036278	0	2
cb-m172_F	cb-m172	F	IV	10305329	10305307	0	IV	10743963	10743941	0	2
cb-m172_R	cb-m172	R	IV	10304680	10304701	0	IV	10743314	10743335	0	2
cb-m177_F	cb-m177	F	IV	2600536	2600558	0	IV	2583899	2583921	0	2
cb-m177_R	cb-m177	R	IV	2601336	2601313	0	IV	2584699	2584676	0	2
cb-m197_F	cb-m197	F	X	1887570	1887546	0	X	1905364	1905340	0	2
cb-m197_R	cb-m197	R	X	1886878	1886898	0	X	1904672	1904692	0	2
cb-m19_F	cb-m19	F	II	4076997	4077016	0	II	4155662	4155643	0	2
cb-m19_R	cb-m19	R	II	4078360	4078340	0	II	4154612	4154632	0	2
cb-m204_F	cb-m204	F	X	13569702	13569727	0	X	13946758	13946783	0	2
cb-m204_R	cb-m204	R	X	13570390	13570368	0	X	13947446	13947424	0	2
cb-m205_F	cb-m205	F	III	5649125	5649103	0	III	7401456	7401478	0	2
cb-m205_R	cb-m205	R	III	5648455	5648476	0	III	7402126	7402105	0	2
cb-m21_F	cb-m21	F	II	8826047	8826023	0	II	8644376	8644352	0	2
cb-m21_R	cb-m21	R	II	8825223	8825245	0	II	8643552	8643574	0	2
