Site	AF16	DY180	DY22	ECA264	ECA3733	ECA3734	ECA3738	PB420
I:6160	2	2	2	2	2	2	2	2
I:15246	2	2	NA	NA	2	NA	2	NA
I:28733	NA	NA	NA	NA	NA	NA	2	NA
I:28734	NA	NA	NA	NA	NA	NA	2	NA
I:34881	2	2	2	2	2	2	2	2
I:34905	0	2	0	0	0	0	0	0
I:35095	2	2	2	2	2	2	2	2
I:45484	2	NA	NA	NA	NA	NA	NA	2
I:45525	2	2	NA	2	2	2	NA	2
I:45536	2	2	NA	2	2	2	NA	2
I:49589	2	2	2	2	2	2	2	2
I:50378	2	2	2	2	2	2	2	2
I:50395	2	NA	NA	2	NA	2	NA	NA
I:50739	2	NA	NA	NA	NA	NA	NA	NA
I:50741	2	NA	NA	NA	NA	NA	NA	NA
I:50750	2	NA	NA	NA	NA	NA	NA	NA
I:50772	2	NA	NA	NA	NA	NA	NA	NA
I:50802	2	NA	NA	2	NA	NA	NA	NA
I:50806	2	NA	NA	2	NA	NA	NA	2
I:50816	2	NA	NA	2	NA	NA	NA	2
I:50833	2	NA	NA	2	NA	NA	NA	2
I:50847	2	0	0	2	0	0	0	2
I:50853	2	NA	NA	2	NA	NA	NA	2
I:50855	2	NA	NA	2	NA	NA	NA	2
I:50858	2	NA	NA	2	NA	NA	NA	2
I:50892	2	2	2	2	2	2	2	2
I:50929	2	2	2	2	2	2	2	2
I:51109	0	NA	NA	NA	2	NA	2	0
I:51134	0	NA	NA	NA	2	NA	NA	0
I:51153	2	NA	NA	NA	NA	NA	NA	NA
I:51174	2	NA	NA	NA	NA	NA	NA	NA
I:51206	2	NA	NA	2	NA	NA	NA	NA
I:51461	2	2	2	2	2	2	2	2
I:51569	2	2	2	2	2	2	2	2
I:51593	2	2	2	2	2	2	2	2
I:51721	2	2	2	2	2	2	2	2
I:51725	2	2	2	2	2	2	2	2
I:51741	2	2	2	2	2	2	2	2
I:51742	2	2	2	2	2	2	2	2
I:51747	2	2	2	2	2	2	2	2
I:51784	2	2	2	2	2	2	2	2
I:51801	2	2	2	2	2	2	2	2
I:51834	2	2	2	2	2	2	2	2
I:51835	2	2	2	2	2	2	2	2
I:51840	2	2	2	2	2	2	2	2
I:51841	2	2	2	2	2	2	2	2
I:51848	2	NA	2	2	NA	2	2	2
I:51862	2	NA	NA	0	NA	NA	NA	2
I:51869	2	NA	NA	NA	NA	NA	NA	NA
I:52210	2	0	NA	NA	0	NA	0	0
I:52212	2	NA	NA	NA	NA	NA	NA	NA
I:52214	2	NA	NA	NA	NA	NA	NA	NA
I:52217	2	NA	NA	NA	NA	NA	NA	NA
I:52238	2	NA	NA	NA	NA	NA	NA	NA
I:52269	2	2	2	2	2	2	2	2
I:52278	2	2	2	2	2	2	2	2
I:52279	2	2	2	2	2	2	2	2
I:52280	2	2	2	2	2	2	2	2
I:52305	2	2	2	2	2	2	2	2
I:52307	2	2	2	2	2	2	2	2
I:52312	2	2	2	2	2	2	2	2
I:52316	2	2	2	2	2	2	2	2
I:52317	2	2	2	2	2	2	2	2
I:52359	2	2	2	2	2	2	2	2
I:52685	2	2	2	2	2	2	2	2
I:53952	2	2	2	2	2	2	2	2
I:54143	2	2	2	2	2	2	2	2
I:55605	2	2	2	2	2	2	2	2
I:56228	2	2	2	2	2	2	2	2
I:56671	2	2	2	2	2	2	2	2
I:59732	2	2	2	2	2	2	2	2
I:60343	2	2	2	2	2	2	2	2
I:60684	2	2	2	2	2	2	2	2
I:60686	2	2	2	2	2	2	2	2
I:62066	2	2	2	2	2	2	2	2
I:63247	2	2	2	2	2	2	2	2
I:65096	2	2	2	2	2	2	2	2
I:65098	2	2	2	2	2	2	2	2
I:65983	2	2	2	2	2	2	2	2
I:66360	2	2	2	2	2	2	2	2
I:66461	2	2	2	2	2	2	2	2
I:66793	2	2	2	2	2	2	2	2
I:66908	2	2	2	2	2	2	2	2
I:70346	2	2	2	2	2	2	2	2
I:73607	2	2	2	2	2	2	2	2
I:74379	2	2	2	2	2	2	2	2
I:74391	2	2	2	2	2	2	2	2
I:74902	2	2	2	2	2	2	2	2
I:74988	2	2	2	2	2	2	2	2
I:75445	2	2	2	2	2	2	2	2
I:76570	2	2	2	2	2	2	2	2
I:76741	2	2	2	2	2	2	2	2
I:78078	2	2	2	2	2	2	2	2
I:78099	2	2	2	2	2	2	2	2
I:78387	2	2	2	2	2	2	2	2
I:80193	2	2	2	2	2	2	2	2
I:80528	2	2	2	2	2	2	2	2
I:82056	2	2	2	2	2	2	2	2
I:82676	2	2	2	2	2	2	2	2
I:82772	2	2	2	2	2	2	2	2
I:83518	2	2	2	2	2	2	2	2
I:83784	2	2	2	2	2	2	2	2
I:84245	2	2	2	2	2	2	2	2
I:85392	2	2	2	2	2	2	2	2
I:86588	2	2	2	2	2	2	2	2
I:87302	2	2	2	2	2	2	2	2
I:88280	2	2	2	2	2	2	2	2
I:88691	2	2	2	2	2	2	2	2
I:89162	2	2	2	2	2	2	2	2
I:89552	2	2	2	2	2	2	2	2
I:90068	2	2	2	2	2	2	2	2
I:90091	2	2	2	2	2	2	2	2
I:91522	2	2	2	2	2	2	2	2
I:91523	2	2	2	2	2	2	2	2
I:91904	2	2	2	2	2	2	2	2
I:92055	2	2	2	2	2	2	2	2
I:92524	2	2	2	2	2	2	2	2
I:93783	2	2	2	2	2	2	2	2
I:93785	2	2	2	2	2	2	2	2
I:96721	2	2	2	2	2	2	2	2
I:97124	2	2	2	2	2	2	2	2
I:98233	2	2	2	2	2	2	2	2
I:99744	2	2	2	2	2	2	2	2
I:100235	2	2	2	2	2	2	2	2
I:102015	2	2	2	2	2	2	2	2
I:102250	2	2	2	2	2	2	2	2
I:103610	2	2	2	2	2	2	2	2
I:104946	2	2	2	2	2	2	2	2
I:105670	2	2	2	2	2	2	2	2
I:107163	2	2	2	2	2	2	2	2
I:107590	2	2	2	2	2	2	2	2
I:107885	2	2	2	2	2	2	2	2
I:108551	2	2	2	2	2	2	2	2
I:109185	2	2	2	2	2	2	2	2
I:109206	2	2	2	2	2	2	2	2
I:109208	2	2	2	2	2	2	2	2
I:109616	2	2	2	2	2	2	2	2
I:110325	2	2	2	2	2	2	2	2
I:110438	2	2	2	2	2	2	2	2
I:111370	2	2	2	2	2	2	2	2
I:115156	2	2	2	2	2	2	2	2
I:115984	2	2	2	2	2	2	2	2
I:116191	2	2	2	2	2	2	2	2
I:116400	2	2	2	2	2	2	2	2
I:117165	2	2	2	2	2	2	2	2
I:119362	2	2	2	2	2	2	2	2
I:119989	2	2	2	2	2	2	2	2
I:120115	2	2	2	2	2	2	2	2
I:120415	2	2	2	2	2	2	2	2
I:121570	2	2	2	2	2	2	2	2
I:121595	2	2	2	2	2	2	2	2
I:122881	2	2	2	2	2	2	2	2
I:123488	2	2	2	2	2	2	2	2
I:123548	2	2	2	2	2	2	2	2
I:123995	2	2	2	2	2	2	2	2
I:125902	2	2	2	2	2	2	2	2
I:130102	2	2	2	2	2	2	2	2
I:130172	2	2	2	2	2	2	2	2
I:130691	2	2	2	2	2	2	2	2
I:130944	2	2	2	2	2	2	2	2
I:131507	2	2	2	2	2	2	2	2
I:136456	2	2	2	2	2	2	2	2
I:136587	2	2	2	2	2	2	2	2
I:137278	2	2	2	2	2	2	2	2
I:141001	2	2	2	2	2	2	2	2
I:141148	2	2	2	2	2	2	2	2
I:142321	2	2	2	2	2	2	2	2
I:147457	2	2	2	2	2	2	2	2
I:148149	2	2	2	2	2	2	2	2
I:149124	2	2	2	2	2	2	2	2
I:149950	2	2	2	2	2	2	2	2
I:150106	2	2	2	2	2	2	2	2
I:150516	2	2	2	2	2	2	2	2
I:150575	2	2	2	2	2	2	2	2
I:153284	2	2	2	2	2	2	2	2
I:153354	2	2	2	2	2	2	2	2
I:153834	2	2	2	2	2	2	2	2
I:154618	2	2	2	2	2	2	2	2
I:154807	2	2	2	2	2	2	2	2
I:155581	2	2	2	2	2	2	2	2
I:155630	2	2	2	2	2	2	2	2
I:155754	2	2	2	2	2	2	2	2
I:155756	2	2	2	2	2	2	2	2
I:155760	2	2	2	2	2	2	2	2
I:155761	2	2	2	2	2	2	2	2
I:156052	2	2	2	2	2	2	2	2
I:158333	2	2	2	2	2	2	2	2
I:159723	2	2	2	2	2	2	2	2
I:160510	2	2	2	2	2	2	2	2
I:160617	2	2	2	2	2	2	2	2
I:161038	2	2	2	2	2	2	2	2
I:161545	2	2	2	2	2	2	2	2
I:162079	2	2	2	2	2	2	2	2
I:162403	2	2	2	2	2	2	2	2
I:163027	2	2	2	2	2	2	2	2
I:163660	2	2	2	2	2	2	2	2
I:163661	2	2	2	2	2	2	2	2
I:164494	2	2	2	2	2	2	2	2
I:164653	2	2	2	2	2	2	2	2
I:164887	2	2	2	2	2	2	2	2
I:165712	2	2	2	2	2	2	2	2
I:165756	2	2	2	2	2	2	2	2
I:166026	2	2	2	2	2	2	2	2
I:166815	NA	0	2	2	2	2	2	2
I:167271	2	2	2	2	2	2	2	2
I:167725	NA	2	2	2	2	2	2	2
I:168906	2	2	2	2	2	2	2	2
