contig	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
ptg000001l	1	16508655	37542417	16505709	99.9822	222.644	39.4	54.5
ptg000002l	1	22424347	45482863	22420132	99.9812	198.797	39.4	53.5
ptg000003l	1	19802989	47145296	19798872	99.9792	232.974	39.4	54.1
ptg000004l	1	10743294	26400385	10739721	99.9667	227.113	39.4	51.8
ptg000005l	1	17393183	39917264	17387270	99.966	224.4	39.4	53.8
ptg000007l	1	4123281	8723380	4122713	99.9862	206.204	39.4	52.4
ptg000009l	1	15455657	35343520	15453996	99.9893	223.147	39.4	54.5
ptg000011l	1	58890	54791	58789	99.8285	89.2649	39.4	0.00256
ptg000016l	1	63550	474394	63487	99.9009	703.668	39.3	0.0808
ptg000018l	1	64490	369535	64472	99.9721	541.923	39.3	0.31
ptg000023l	1	68764	501875	68741	99.9666	686.276	39.4	0.00875
ptg000024l	1	65901	501758	65901	100	721.084	39.4	0.0701
ptg000031l	1	52250	393438	52250	100	712.04	39.4	0.00201
