Orthogroup	CGC2	N2	AF16	CGC2_counts	AF16_counts	N2_chrom	N2_start	N2_end	N2_strand	N2_alias	N2_alias2	AF16_length	CGC2_length	N2_length	AF16_acc	CGC2_acc	AF16_deviation	CGC2_deviation	class
OG0007210	g904.t1	Transcript_Y74C9A.3.1	Transcript_CBG03917.1	1	1	I	4116	10230	-	homt-1	Y74C9A.3	231	231	234	0.987179487179487	0.987179487179487	0.0128205128205128	0.0128205128205128	Near-identical
OG0007211	g907.t2	Transcript_Y48G1C.12.1	Transcript_CBG03913.1	1	1	I	47461	49860	+	Y48G1C.12	NA	215	220	216	0.99537037037037	1.01851851851852	0.00462962962962965	0.0185185185185186	Near-identical
OG0008446	g3823.t2	Transcript_Y48G1C.1.1	Transcript_CBG04282.1	1	1	I	93022	94884	+	pid-2	Y48G1C.1	570	587	454	1.25550660792952	1.29295154185022	0.255506607929515	0.29295154185022	Deviated (Concordant)
OG0007212	g912.t1	Transcript_Y48G1C.13.1	Transcript_CBG03908.1	1	1	I	94829	95312	-	Y48G1C.13	NA	257	257	94	2.73404255319149	2.73404255319149	1.73404255319149	1.73404255319149	Deviated (Concordant)
OG0007214	g915.t1	Transcript_F53G12.9a.1	Transcript_CBG25240.1	1	1	I	112285	113751	+	F53G12.9	NA	251	251	252	0.996031746031746	0.996031746031746	0.00396825396825395	0.00396825396825395	Near-identical
OG0007213	g914.t1	Transcript_F53G12.8.1	Transcript_CBG03906.1	1	1	I	113807	114708	+	F53G12.8	NA	134	134	177	0.757062146892655	0.757062146892655	0.242937853107345	0.242937853107345	Deviated (Concordant)
OG0006913	g202.t2	Transcript_F53G12.6.1	Transcript_CBG05099a.1	1	1	I	118093	120901	+	spe-8	F53G12.6	519	519	512	1.013671875	1.013671875	0.013671875	0.013671875	Near-identical
OG0006912	g200.t1	Transcript_F53G12.4.1	Transcript_CBG05101.1	1	1	I	134337	137282	+	F53G12.4	NA	399	392	350	1.14	1.12	0.14	0.12	Deviated (Concordant)
OG0014647	g199.t1	Transcript_F53G12.18.1	Transcript_CBG31306.1	1	1	I	144811	146514	+	F53G12.18	NA	73	73	73	1	1	0	0	Identical
OG0006920	g216.t2	Transcript_F56C11.5a.1	Transcript_CBG22009b.1	1	1	I	180081	182161	+	F56C11.5	NA	230	230	230	1	1	0	0	Identical
OG0006921	g217.t1	Transcript_F56C11.3.1	Transcript_CBG22010.1	1	1	I	182068	182772	-	F56C11.3	NA	162	162	161	1.00621118012422	1.00621118012422	0.0062111801242235	0.0062111801242235	Near-identical
OG0006923	g221.t1	Transcript_Y48G1BL.7.1	Transcript_CBG22016.1	1	1	I	209281	211738	+	Y48G1BL.7	NA	327	249	319	1.02507836990596	0.780564263322884	0.025078369905956	0.219435736677116	Near-identical
OG0006924	g222.t1	Transcript_Y48G1BR.1.1	Transcript_CBG22017.1	1	1	I	254254	259157	-	Y48G1BR.1	NA	565	565	547	1.03290676416819	1.03290676416819	0.0329067641681902	0.0329067641681902	Near-identical
OG0006939	g261.t1	Transcript_Y48G1A.4.1	Transcript_CBG22064.1	1	1	I	323855	330987	+	nol-14	Y48G1A.4	831	831	829	1.00241254523522	1.00241254523522	0.00241254523522305	0.00241254523522305	Near-identical
OG0006940	g262.t1	Transcript_Y48G1A.3.1	Transcript_CBG31239.1	1	1	I	332604	337845	+	daf-25	Y48G1A.3	196	397	388	0.505154639175258	1.02319587628866	0.494845360824742	0.0231958762886597	Near-identical
OG0006915	g206.t1	Transcript_Y48G1A.2.1	Transcript_CBG05095.1	1	1	I	347469	348357	+	Y48G1A.2	NA	140	141	137	1.02189781021898	1.02919708029197	0.0218978102189782	0.0291970802919708	Near-identical
OG0006914	g205.t1	Transcript_Y48G1A.1.1	Transcript_CBG05096.1	1	1	I	348460	357236	+	Y48G1A.1	NA	951	952	955	0.995811518324607	0.996858638743455	0.00418848167539265	0.00314136125654452	Near-identical
OG0006958	g305.t1	Transcript_R119.2.1	Transcript_CBG29966.1	1	1	I	368270	373465	-	R119.2	NA	448	448	444	1.00900900900901	1.00900900900901	0.00900900900900892	0.00900900900900892	Near-identical
OG0006591	g306.t1	Transcript_R119.3.1	Transcript_CBG29965.1	1	1	I	373571	379073	-	R119.3	NA	114	253	253	0.450592885375494	1	0.549407114624506	0	Identical
OG0006934	g253.t1	Transcript_Y50C1A.2.1	Transcript_CBG22052.1	1	1	I	412860	418677	-	Y50C1A.2	NA	402	402	402	1	1	0	0	Identical
OG0006935	g254.t1	Transcript_C07F11.2.1	Transcript_CBG22054.1	1	1	I	420922	423713	+	C07F11.2	NA	491	491	498	0.985943775100402	0.985943775100402	0.0140562248995983	0.0140562248995983	Near-identical
OG0006936	g255.t1	Transcript_C07F11.1.1	Transcript_CBG22058.1	1	1	I	444003	461605	+	tol-1	C07F11.1	1215	1215	1221	0.995085995085995	0.995085995085995	0.00491400491400495	0.00491400491400495	Near-identical
OG0006938	g257.t1	Transcript_W04C9.4.1	Transcript_CBG22060.1	1	1	I	461995	462651	+	W04C9.4	NA	153	153	150	1.02	1.02	0.02	0.02	Near-identical
OG0006941	g263.t1	Transcript_W04C9.5.1	Transcript_CBG22069.1	1	1	I	462606	467137	-	W04C9.5	NA	381	381	369	1.03252032520325	1.03252032520325	0.032520325203252	0.032520325203252	Near-identical
OG0006916	g207.t1	Transcript_W04C9.3.1	Transcript_CBG05090.1	1	1	I	477582	482028	+	cutl-13	W04C9.3	453	453	445	1.01797752808989	1.01797752808989	0.0179775280898877	0.0179775280898877	Near-identical
OG0006917	g208.t1	Transcript_W04C9.9.1	Transcript_CBG05089.1	1	1	I	481961	483880	-	W04C9.9	NA	166	193	183	0.907103825136612	1.05464480874317	0.092896174863388	0.0546448087431695	Deviated (Discordant)
OG0006918	g210.t1	Transcript_W04C9.2.1	Transcript_CBG22669.1	1	1	I	488607	489905	+	W04C9.2	NA	102	102	102	1	1	0	0	Identical
OG0006919	g213.t2	Transcript_Y65B4BL.4.1	Transcript_CBG22666.1	1	1	I	502891	506250	-	Y65B4BL.4	NA	327	330	324	1.00925925925926	1.01851851851852	0.0092592592592593	0.0185185185185186	Near-identical
OG0006911	g192.t1	Transcript_Y65B4BL.1.1	Transcript_CBG05111.1	1	1	I	530969	532418	+	Y65B4BL.1	NA	95	95	93	1.02150537634409	1.02150537634409	0.021505376344086	0.021505376344086	Near-identical
OG0006909	g189.t1	Transcript_Y65B4BR.8.1	Transcript_CBG05113.1	1	1	I	534455	535344	+	psf-3	Y65B4BR.8	193	193	193	1	1	0	0	Identical
OG0006908	g188.t2	Transcript_Y65B4BR.5.1	Transcript_CBG05114.1	1	1	I	535791	536587	+	icd-2	Y65B4BR.5	197	199	195	1.01025641025641	1.02051282051282	0.0102564102564102	0.0205128205128204	Near-identical
OG0006907	g186.t2	Transcript_Y65B4BR.3.1	Transcript_CBG05116.1	1	1	I	550696	556709	+	ptr-21	Y65B4BR.3	913	933	909	1.004400440044	1.02640264026403	0.00440044004400431	0.0264026402640265	Near-identical
OG0006482	g183.t1	Transcript_Y65B4BR.1.1	Transcript_CBG05119.1	1	1	I	562736	565184	+	Y65B4BR.1	NA	379	380	377	1.0053050397878	1.0079575596817	0.0053050397877985	0.00795755968169765	Near-identical
OG0006906	g184.t1	Transcript_Y65B4BR.9.1	Transcript_CBG05118.1	1	1	I	565284	566588	-	ceh-9	Y65B4BR.9	163	163	147	1.10884353741497	1.10884353741497	0.108843537414966	0.108843537414966	Deviated (Concordant)
OG0014696	g920.t1	Transcript_F56A6.5.1	Transcript_CBG25239.1	1	1	I	582211	583729	-	F56A6.5	NA	168	168	191	0.879581151832461	0.879581151832461	0.120418848167539	0.120418848167539	Deviated (Concordant)
OG0006479	g170.t1	Transcript_Y65B4A.6a.1	Transcript_CBG05145.1	1	1	I	629465	636345	-	Y65B4A.6	NA	400	400	399	1.00250626566416	1.00250626566416	0.00250626566416035	0.00250626566416035	Near-identical
OG0006903	g171.t1	Transcript_Y65B4A.3.1	Transcript_CBG05144.1	1	1	I	636804	637852	+	vps-20	Y65B4A.3	205	205	208	0.985576923076923	0.985576923076923	0.0144230769230769	0.0144230769230769	Near-identical
OG0006894	g147.t1	Transcript_Y65B4A.1.1	Transcript_CBG18539.1	1	1	I	654090	659586	+	cus-2	Y65B4A.1	192	442	442	0.434389140271493	1	0.565610859728507	0	Identical
OG0006895	g148.t1	Transcript_Y65B4A.8.1	Transcript_CBG18542.1	1	1	I	659565	663610	-	Y65B4A.8	NA	459	460	461	0.995661605206074	0.997830802603037	0.00433839479392628	0.00216919739696309	Near-identical
OG0006902	g162.t1	Transcript_Y18H1A.15.1	Transcript_CBG05156.1	1	1	I	731008	736562	-	Y18H1A.15	NA	665	665	654	1.01681957186544	1.01681957186544	0.0168195718654434	0.0168195718654434	Near-identical
OG0006905	g179.t1	Transcript_Y18H1A.13.1	Transcript_CBG05125.1	1	1	I	741878	747213	-	col-46	Y18H1A.13	301	301	301	1	1	0	0	Identical
OG0006901	g160.t1	Transcript_T06A4.2.1	Transcript_CBG05159.1	1	1	I	760848	761849	-	mps-3	T06A4.2	180	180	167	1.07784431137725	1.07784431137725	0.0778443113772456	0.0778443113772456	Deviated (Concordant)
OG0006900	g157.t1	Transcript_ZC123.1.1	Transcript_CBG18553.1	1	1	I	837996	841746	+	ZC123.1	NA	769	769	730	1.05342465753425	1.05342465753425	0.0534246575342465	0.0534246575342465	Deviated (Concordant)
OG0006899	g156.t1	Transcript_ZC123.4a.1	Transcript_CBG18552.1	1	1	I	841742	846763	-	cdk-14	ZC123.4	527	527	534	0.98689138576779	0.98689138576779	0.0131086142322098	0.0131086142322098	Near-identical
OG0006898	g155.t1	Transcript_Y95B8A.8.1	Transcript_CBG18550.1	1	1	I	853451	872827	+	zfr-1	Y95B8A.8	805	805	764	1.05366492146597	1.05366492146597	0.0536649214659686	0.0536649214659686	Deviated (Concordant)
OG0006896	g150.t1	Transcript_Y95B8A.10a.1	Transcript_CBG18544.1	1	1	I	872755	882713	-	pde-6	Y95B8A.10	705	705	760	0.927631578947368	0.927631578947368	0.0723684210526315	0.0723684210526315	Deviated (Concordant)
OG0006897	g154.t1	Transcript_Y95B8A.4.1	Transcript_CBG18549.1	1	1	I	907448	911189	+	Y95B8A.4	NA	328	324	280	1.17142857142857	1.15714285714286	0.171428571428571	0.157142857142857	Deviated (Concordant)
OG0006955	g299.t1	Transcript_F54A5.1.1	Transcript_CBG22107.1	1	1	I	989671	992178	+	hmbx-1	F54A5.1	422	422	424	0.995283018867924	0.995283018867924	0.00471698113207553	0.00471698113207553	Near-identical
OG0006956	g300.t1	Transcript_C54G6.3.1	Transcript_CBG22108.1	1	1	I	995781	1005640	+	C54G6.3	NA	394	394	379	1.03957783641161	1.03957783641161	0.0395778364116095	0.0395778364116095	Near-identical
OG0006925	g231.t1	Transcript_C54G6.5.1	Transcript_CBG22028.1	1	1	I	1016405	1017176	+	spp-17	C54G6.5	104	104	104	1	1	0	0	Identical
