primer	indel_id	orientation	AF16_chrom	AF16_match_length	AF16_n_mismatch	AF16_n_gap	AF16_start	AF16_end	AF16_strand	primer_length	CGC2_chrom	CGC2_match_length	CGC2_n_mismatch	CGC2_n_gap	CGC2_start	CGC2_end	CGC2_strand	total_locations_AF16	total_locations_CGC2
bdP1_F	bdP1	F	III	23	0	0	12218329	12218307	minus	23	III	23	0	0	12574392	12574370	minus	1	1
bdP1_R	bdP1	R	III	23	1	0	12216606	12216628	plus	23	III	23	1	0	12572669	12572691	plus	1	1
bdP3_F	bdP3	F	V	19	0	0	7413646	7413664	plus	19	V	19	0	0	7853099	7853117	plus	1	1
bdP3_R	bdP3	R	V	23	0	0	7414552	7414530	minus	23	V	23	0	0	7854005	7853983	minus	1	1
bdP4_F	bdP4	F	II	25	0	1	4579146	4579122	minus	24	II	25	0	1	4403844	4403868	plus	1	1
bdP4_R	bdP4	R	II	22	0	0	4578135	4578156	plus	22	II	22	0	0	4404855	4404834	minus	1	1
bhP12_F	bhP12	F	III	22	0	0	5752834	5752855	plus	22	III	22	0	0	5783140	5783161	plus	1	1
bhP12_R	bhP12	R	III	22	0	0	5753081	5753060	minus	22	III	22	0	0	5783387	5783366	minus	1	1
bhP13_F	bhP13	F	IV	23	0	0	598746	598768	plus	23	IV	23	0	0	683549	683571	plus	1	1
bhP13_R	bhP13	R	IV	23	0	0	598995	598973	minus	23	IV	23	0	0	683798	683776	minus	1	1
bhP14_F	bhP14	F	III	22	0	0	2535825	2535846	plus	22	III	22	0	0	2470310	2470331	plus	1	1
bhP14_R	bhP14	R	III	23	0	0	2536065	2536043	minus	23	III	23	0	0	2470550	2470528	minus	1	1
bhP15_F	bhP15	F	IV	23	0	0	2236528	2236550	plus	23	IV	23	0	0	2175322	2175344	plus	1	1
bhP15_R	bhP15	R	IV	22	0	0	2236777	2236756	minus	22	IV	22	0	0	2175571	2175550	minus	1	1
bhP18_F	bhP18	F	III	23	0	0	45803	45781	minus	23	III	23	0	0	116937	116915	minus	1	1
bhP18_R	bhP18	R	III	23	0	0	45556	45578	plus	23	III	23	0	0	116690	116712	plus	1	1
bhP19_F	bhP19	F	I	22	0	0	17270	17291	plus	22	I	22	0	0	430045	430024	minus	1	1
bhP19_R	bhP19	R	I	23	0	0	17516	17494	minus	23	I	23	0	0	429799	429821	plus	1	1
bhP1_F	bhP1	F	I	21	0	0	11745497	11745477	minus	21	I	21	0	0	11667552	11667532	minus	1	1
bhP1_R	bhP1	R	I	24	0	0	11745245	11745268	plus	24	I	24	0	0	11667300	11667323	plus	1	1
bhP20_F	bhP20	F	II	23	0	0	1340820	1340842	plus	23	II	23	0	0	1333477	1333455	minus	1	1
