Orthogroup	CGC2	N2	AF16	QX1410	CGC2_counts	AF16_counts	QX1410_counts	class	CGC2_chrom	CGC2_start	CGC2_end	CGC2_strand	AF16_chrom	AF16_start	AF16_end	AF16_strand	QX1410_chrom	QX1410_start	QX1410_end	QX1410_strand
OG0000002	g13086.t1	Transcript_B0294.3.1, Transcript_C17B7.11.1, Transcript_C25D7.4b.1, Transcript_C39B5.3.1, Transcript_C39B5.4.1, Transcript_C39B5.7.1, Transcript_C39B5.9.1, Transcript_F07G6.6.1, Transcript_F07G6.7.1, Transcript_F09C6.15.1, Transcript_F09C6.2.1, Transcript_F09C6.6.1, Transcript_F10A3.3.1, Transcript_F31F4.15a.1, Transcript_F31F4.15b.1, Transcript_F42G2.8.1, Transcript_F52D2.1.1, Transcript_F54B8.3.1, Transcript_F54B8.3.2, Transcript_F54D10.2.1, Transcript_R155.2.1, Transcript_R155.3.1, Transcript_R155.5.1, Transcript_T06E6.15.1, Transcript_T08E11.7.1, Transcript_T12B5.1.1, Transcript_T12B5.10.1, Transcript_T12B5.11.1, Transcript_T12B5.2.1, Transcript_T12B5.3.1, Transcript_T12B5.3.2, Transcript_T12B5.4.1, Transcript_T12B5.5.1, Transcript_T12B5.6b.1, Transcript_T12B5.6c.1, Transcript_T12B5.7.1, Transcript_T12B5.8.1, Transcript_T12B5.8.2, Transcript_T13F3.5.1, Transcript_T20H9.1.1, Transcript_T20H9.2.1, Transcript_T20H9.3.1, Transcript_T20H9.4.1, Transcript_T24C2.4.1, Transcript_T25E12.12.1, Transcript_T28A11.21.1, Transcript_Y119D3A.1.1, Transcript_Y119D3A.2.1, Transcript_Y119D3A.3.1, Transcript_Y119D3A.4.1, Transcript_Y119D3B.19.1, Transcript_Y119D3B.22.1, Transcript_Y119D3B.4.1, Transcript_Y119D3B.6.1, Transcript_Y119D3B.7.1, Transcript_Y119D3B.8.1, Transcript_Y119D3B.8.2, Transcript_Y22D7AR.11.1, Transcript_Y22D7AR.11.2, Transcript_Y22D7AR.2.1, Transcript_Y22D7AR.7.1, Transcript_Y22D7AR.9.1, Transcript_Y54F10BL.1.1, Transcript_Y54F10BM.10.1, Transcript_Y54F10BM.11.1, Transcript_Y54F10BM.11.2, Transcript_Y54F10BM.15.1, Transcript_Y54F10BM.20.1, Transcript_Y54F10BM.4.1, Transcript_Y54F10BM.4.2, Transcript_Y54F10BM.5.1, Transcript_Y54F10BM.7.1, Transcript_Y55B1AR.4.1, Transcript_Y59E1A.1.1, Transcript_Y67A10A.5.1, Transcript_Y82E9BL.10.1, Transcript_Y82E9BL.11.1, Transcript_Y82E9BL.13.1, Transcript_Y82E9BL.14.1, Transcript_Y82E9BL.15.1, Transcript_Y82E9BL.17.1, Transcript_Y82E9BL.18.1, Transcript_Y82E9BL.18.2, Transcript_Y82E9BL.19.1, Transcript_Y82E9BL.4.1, Transcript_Y82E9BL.7.1, Transcript_Y82E9BL.8.1, Transcript_Y82E9BR.12.1, Transcript_Y82E9BR.12.2, Transcript_ZC47.13a.1, Transcript_ZC47.14.1, Transcript_ZC47.3.1, Transcript_ZC47.3.2, Transcript_ZC47.4.1, Transcript_ZC47.5.1, Transcript_ZC47.6.1, Transcript_ZC47.7.1, Transcript_cTel54X.1.1, Transcript_cTel54X.2.1	Transcript_CBG26930.1	transcript_QX1410.22720.1	1	1	1	COMPLETE	V	2185041	2186093	+	V	1728793	1729963	+	V	1910417	1911593	+
OG0000040	g16643.t1	Transcript_C33A12.12.1, Transcript_C48D1.1a.1, Transcript_C48D1.1b.1, Transcript_F44E5.2.1, Transcript_F47D12.5.1, Transcript_F47G4.2.1, Transcript_F47G4.2.2, Transcript_F53G2.1.1, Transcript_F54D5.24.1, Transcript_F58D2.3.1, Transcript_F58D2.5.1, Transcript_H04D03.4.1, Transcript_H24K24.2a.1, Transcript_H24K24.2b.1, Transcript_H24K24.2c.1, Transcript_H24K24.2d.1, Transcript_K05C4.3.1, Transcript_K05C4.3.2, Transcript_K05C4.9a.1, Transcript_K05C4.9b.1, Transcript_W06A11.2.1, Transcript_W06A11.2.2, Transcript_Y39A1A.17.1, Transcript_Y39A1A.31.1, Transcript_Y39G10AR.5.1, Transcript_Y55F3C.9a.1, Transcript_Y55F3C.9b.1, Transcript_Y71A12B.12a.1, Transcript_Y71A12B.12b.1, Transcript_Y71A12B.17a.1, Transcript_Y71A12B.17b.1, Transcript_Y9C9A.13.1	Transcript_CBG30585.1	transcript_QX1410.26452.1	1	1	1	COMPLETE	V	16666316	16668860	+	V	16474958	16477975	-	V	16523389	16525000	+
OG0000044	g6335.t1	Transcript_T01D1.2a.1, Transcript_T01D1.2a.2, Transcript_T01D1.2a.3, Transcript_T01D1.2a.4, Transcript_T01D1.2b.1, Transcript_T01D1.2d.1, Transcript_T01D1.2d.2, Transcript_T01D1.2e.1, Transcript_T01D1.2e.2, Transcript_T01D1.2e.3, Transcript_T01D1.2e.4, Transcript_T01D1.2f.1, Transcript_T01D1.2f.2, Transcript_T01D1.2f.3, Transcript_T01D1.2g.1, Transcript_T01D1.2g.2, Transcript_T01D1.2g.3, Transcript_T01D1.2l.1, Transcript_T01D1.2l.2, Transcript_T01D1.2m.1, Transcript_T01D1.2n.1, Transcript_T01D1.2o.1, Transcript_T01D1.2p.1, Transcript_T01D1.2q.1, Transcript_T01D1.2r.1, Transcript_T01D1.2s.1, Transcript_T01D1.2t.1, Transcript_T01D1.2u.1, Transcript_T01D1.2v.1, Transcript_T01D1.2w.1, Transcript_T01D1.2x.1	Transcript_CBG06972.1	transcript_QX1410.13304.2	1	1	1	COMPLETE	II	16429868	16434306	+	II	16551597	16555549	+	II	16509187	16513625	+
OG0000048	g12198.t1	Transcript_B0205.1a.1, Transcript_B0205.1b.1, Transcript_B0205.9.1, Transcript_B0212.3.1, Transcript_CD4.8.1, Transcript_M57.1.1, Transcript_M57.1.2, Transcript_M57.1.3, Transcript_M57.1.4, Transcript_R05D7.2.1, Transcript_T28A8.3.1, Transcript_T28A8.4.1, Transcript_T28A8.5a.1, Transcript_T28A8.5b.1, Transcript_T28A8.6.1, Transcript_T28A8.8a.1, Transcript_Y104H12BR.1a.1, Transcript_Y104H12BR.1b.1, Transcript_Y45F10C.1.1, Transcript_Y57A10A.2.1, Transcript_Y57A10A.2.2, Transcript_Y57A10A.2.3, Transcript_Y57A10A.4.1, Transcript_Y57A10A.5.1, Transcript_Y57A10A.8.1, Transcript_Y73B3B.1.1, Transcript_Y73B3B.3.1, Transcript_ZK402.1.1, Transcript_ZK402.2.1, Transcript_ZK402.5.1	Transcript_CBG13946.1	transcript_QX1410.44060.1	1	1	1	COMPLETE	IV	15604883	15613094	+	IV	15898476	15907019	+	IV	15358988	15367706	+
OG0000072	g3919.t2	Transcript_C04A2.3a.1, Transcript_C04A2.3b.1, Transcript_C04A2.3c.1, Transcript_C04A2.3c.2, Transcript_C04A2.3c.3, Transcript_C04A2.3c.4, Transcript_C04A2.3c.5, Transcript_C04A2.3c.6, Transcript_C04A2.3c.7, Transcript_C04A2.3d.1, Transcript_C04A2.3e.1, Transcript_C04A2.3f.1, Transcript_C04A2.3g.1, Transcript_C04A2.3h.1, Transcript_C04A2.3i.1, Transcript_C04A2.3j.1, Transcript_C04A2.3k.1, Transcript_C04A2.3l.1, Transcript_C04A2.3m.1, Transcript_C04A2.3n.1, Transcript_C04A2.3o.1, Transcript_C04A2.3p.1, Transcript_C04A2.3q.1, Transcript_C04A2.3r.1	Transcript_CBG11165.1	transcript_QX1410.31186.1	1	1	1	COMPLETE	II	5347894	5360423	+	II	5457492	5470609	+	II	5312764	5325887	+
OG0000073	g3947.t5	Transcript_F22D3.1a.1, Transcript_F22D3.1a.2, Transcript_F22D3.1b.1, Transcript_F22D3.1b.2, Transcript_F22D3.1c.1, Transcript_F22D3.1c.2, Transcript_F22D3.1d.1, Transcript_F22D3.1d.2, Transcript_F22D3.1e.1, Transcript_F22D3.1e.2, Transcript_F22D3.1f.1, Transcript_F22D3.1g.1, Transcript_F22D3.1h.1, Transcript_F22D3.1h.2, Transcript_F22D3.1i.1, Transcript_F22D3.1j.1, Transcript_F22D3.1k.1, Transcript_F22D3.1k.2, Transcript_F22D3.1l.1, Transcript_F22D3.1m.1, Transcript_F22D3.1n.1, Transcript_F22D3.1o.1, Transcript_F22D3.1p.1, Transcript_F22D3.1p.2	Transcript_CBG11192.1	transcript_QX1410.31211.5	1	1	1	COMPLETE	II	5493441	5496564	+	II	5604646	5608688	+	II	5458382	5462144	+
OG0000079	g3709.t2	Transcript_D2085.5a.1, Transcript_D2085.5b.1, Transcript_D2085.5b.2, Transcript_D2085.5b.3, Transcript_D2085.5b.4, Transcript_D2085.5b.5, Transcript_D2085.5b.6, Transcript_D2085.5b.7, Transcript_D2085.5b.8, Transcript_D2085.5b.9, Transcript_D2085.5c.1, Transcript_D2085.5d.1, Transcript_D2085.5e.1, Transcript_D2085.5f.1, Transcript_D2085.5g.1, Transcript_D2085.5g.2, Transcript_D2085.5g.3, Transcript_D2085.5h.1, Transcript_D2085.5i.1, Transcript_D2085.5j.1, Transcript_D2085.5k.1, Transcript_D2085.5l.1, Transcript_D2085.5m.1	Transcript_CBG11128a.1	transcript_QX1410.10801.10	1	1	1	COMPLETE	II	4245378	4263807	-	II	4716497	4749455	+	II	4217379	4250137	-
OG0000082	g3745.t2	Transcript_F26H11.2b.1, Transcript_F26H11.2c.1, Transcript_F26H11.2d.1, Transcript_F26H11.2d.2, Transcript_F26H11.2e.1, Transcript_F26H11.2f.1, Transcript_F26H11.2i.1, Transcript_F26H11.2j.1, Transcript_F26H11.2k.1, Transcript_F26H11.2l.1, Transcript_F26H11.2m.1, Transcript_F26H11.2n.1, Transcript_F26H11.2o.1, Transcript_F26H11.2p.1, Transcript_F26H11.2q.1, Transcript_F26H11.2q.2, Transcript_F26H11.2q.3, Transcript_F26H11.2q.4, Transcript_F26H11.2r.1, Transcript_F26H11.2r.2, Transcript_F26H11.2r.3, Transcript_F26H11.2s.1	Transcript_CBG11091a.1	transcript_QX1410.10832.11	1	1	1	COMPLETE	II	4439096	4448487	+	II	4534506	4543897	-	II	4406434	4415987	+
OG0000083	g8977.t4	Transcript_R10E4.2a.1, Transcript_R10E4.2a.2, Transcript_R10E4.2a.3, Transcript_R10E4.2a.4, Transcript_R10E4.2b.1, Transcript_R10E4.2b.2, Transcript_R10E4.2c.1, Transcript_R10E4.2d.1, Transcript_R10E4.2e.1, Transcript_R10E4.2f.1, Transcript_R10E4.2f.2, Transcript_R10E4.2g.1, Transcript_R10E4.2g.2, Transcript_R10E4.2i.1, Transcript_R10E4.2j.1, Transcript_R10E4.2k.1, Transcript_R10E4.2l.1, Transcript_R10E4.2m.1, Transcript_R10E4.2n.1, Transcript_R10E4.2o.1, Transcript_R10E4.2q.1, Transcript_R10E4.2r.1	Transcript_CBG12298a.1	transcript_QX1410.9835.1	1	1	1	COMPLETE	III	13031102	13034954	-	III	12705447	12711065	-	III	12972562	12977162	-
OG0000085	g10021.t2	Transcript_C46C2.1a.1, Transcript_C46C2.1b.1, Transcript_C46C2.1c.1, Transcript_C46C2.1d.1, Transcript_C46C2.1e.1, Transcript_C46C2.1f.1, Transcript_C46C2.1g.1, Transcript_C46C2.1h.1, Transcript_C46C2.1i.1, Transcript_C46C2.1j.1, Transcript_C46C2.1k.1, Transcript_C46C2.1l.1, Transcript_C46C2.1m.1, Transcript_C46C2.1n.1, Transcript_C46C2.1o.1, Transcript_C46C2.1p.1, Transcript_C46C2.1q.1, Transcript_C46C2.1r.1, Transcript_C46C2.1s.1, Transcript_C46C2.1t.1, Transcript_C46C2.1u.1, Transcript_C46C2.1v.1	Transcript_CBG21799a.1	transcript_QX1410.41756.2	1	1	1	COMPLETE	IV	4312643	4328441	+	IV	4224905	4241695	+	IV	4156775	4172074	+
